번호,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
1007,개방화장실,법제3조제16호-영제3조제1항제1호,을지로동주민센터,서울특별시 중구 충무로9길 19,을지로3가 65-13,2,2,0,0,0,0,2,0,0,을지로동주민센터,02-3396-6680,정시,08:00~21:00,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-20
1018,공중화장실,법제3조제5호,초안산 유아숲체험장,,서울특별시 도봉구 창동 산48-4,0,2,1,0,0,0,1,1,0,서울특별시 도봉구청,02-2091-3754,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,N,없음,,2024-01-02
1019,공중화장실,법제3조제5호,초안산 창골축구장,,서울특별시 도봉구 창동 산48-4,2,3,0,0,0,0,5,0,1,서울특별시 도봉구청,02-2091-3754,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,여자화장실,,2024-01-02
1024,공중화장실,법제3조제5호,쌍문근린공원,,서울특별시 도봉구 쌍문동 산241,0,2,1,0,0,0,2,1,0,서울특별시 도봉구청,02-2091-3757,상시,상시,2019-06,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,N,없음,,2024-01-02
1055,공중화장실,법제3조제5호,응봉근린공원(관리실 옆),생성필요,신당동 산 36,2,3,0,0,0,0,2,0,0,중구청 공원녹지과,02-3396-5855,상시,,2011-01,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,없음,2022-05,2023-12-19
1107,공중화장실,,간대어린이공원 화장실,,서울특별시 성북구 장위동 207-49,0,1,1,1,0,0,2,1,0,성북구청 공원녹지과,02-2241-3689,,24시간,2021-06,,,공공기관-지방자치단체,수세식,,Y,남자화장실+여자화장실,Y,N,없음,,2023-05-25
1216,공중화장실,법제3조제17호-영제3조제2항제1호,삼양체육과학공원 화장실,,서울특별시 강북구 산 108-94,1,2,0,0,0,0,2,0,0,강북구청 공원녹지과,02-901-6926,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2023-10-30
1217,공중화장실,법제3조제17호-영제3조제2항제1호,북한산유아숲체험장 화장실,,서울특별시 강북구 산 108-19,2,2,0,0,0,0,3,0,0,강북구청 공원녹지과,02-901-6926,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,없음,,2023-10-30
1218,공중화장실,법제3조제17호-영제3조제2항제1호,오동공원 유아숲체험장화장실,,서울특별시 강북구 번동 산17-10,1,1,0,0,0,0,1,0,0,강북구청 공원녹지과,02-901-6927,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,없음,,2023-10-30
1234,공중화장실,법제3조제17호-영제3조제2항제1호,솔샘어린이공원화장실,서울특별시 강북구 솔샘로65길 19 (미아동),서울특별시 강북구 미아동 329-11,1,1,0,0,0,0,1,0,0,강북구청 공원녹지과,02-901-6952,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2023-10-30
1369,간이화장실,법제3조제13호,청산 배드민턴장 화장실,,서울특별시 강북구 번2동 산17-5,1,1,0,0,0,0,1,0,0,강북구청 공원녹지과,02-901-6927,상시,,,,,공공기관-지방자치단체,수거식,Y,N,없음,N,N,없음,,2024-05-03
1381,공중화장실,법제3조제17호-영제3조제2항제1호,솔샘어린이공원화장실,서울특별시 강북구 솔샘로65길 19 (미아동),서울특별시 강북구 미아동 329-11,1,1,0,0,0,0,1,0,0,강북구청 공원녹지과,02-901-6952,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-05-03
1478,공중화장실,법제3조제17호-영제3조제2항제1호,삼양체육과학공원 화장실,서울특별시 강북구 인수봉로17길 26,서울특별시 강북구 산 108-94,1,2,0,0,0,0,2,0,0,강북구청 공원녹지과,02-901-6926,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-03
1479,공중화장실,법제3조제17호-영제3조제2항제1호,북한산유아숲체험장 화장실,,서울특별시 강북구 산 108-19,2,2,0,0,0,0,3,0,0,강북구청 공원녹지과,02-901-6926,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,없음,,2024-05-03
1480,공중화장실,법제3조제17호-영제3조제2항제1호,오동공원 유아숲체험장화장실,,서울특별시 강북구 번동 산17-10,1,1,0,0,0,0,1,0,0,강북구청 공원녹지과,02-901-6927,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,없음,,2024-05-03
1486,간이화장실,법제3조제13호,장수 배드민턴장 화장실,,서울특별시 강북구 미아동 산1-13,1,1,0,0,0,0,1,0,0,강북구청 공원녹지과,02-901-6927,상시,,,,,공공기관-지방자치단체,수거식,Y,N,없음,N,N,없음,,2024-05-03
1495,공중화장실,법제3조제8호,삼양역 화장실,,서울특별시 강북구 미아동 797-4703,3,3,0,0,0,0,9,0,0,우이신설경전철운영㈜,023-3499-5579,정시,05:00~24:00,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-03
1521,공중화장실,,간이화장실_현충근린공원(동작동 정금),서울특별시 동작구 동작대로 29,서울특별시 동작구 동작동 산10-2,1,1,0,0,0,0,1,0,0,동작구청(공원녹지과),02-820-1766,,00:00~00:00,,,,공공기관-지방자치단체,수거식,,Y,남자화장실+여자화장실,N,N,없음,,2023-05-22
1522,공중화장실,,간이화장실_현충근린공원(사당동 상록),서울특별시 동작구 동작대로 29,서울특별시 동작구 사당동 산12-2,1,0,0,0,0,0,0,0,0,동작구청(공원녹지과),02-820-1766,,00:00~00:00,,,,공공기관-지방자치단체,수거식,,Y,여자화장실,N,N,없음,,2023-05-22
1532,공중화장실,,상도1동 공중화장실,서울특별시 동작구 상도동 633-23,,1,1,0,0,0,0,3,0,0,동작구청소행정과,02-820-9143,,00:00~24:00,,,,공공기관-지방자치단체,수세식,,Y,남자화장실+여자화장실,N,N,없음,,2022-01-31
1543,공중화장실,,사당역(4),서울특별시 동작구 사당동 588-4 사당역(4호선),,3,4,0,0,0,1,6,0,0,서울교통공사,02-6110-4331,,05:00~24:00,1985-10,,,공공기관-국가공공기관,수세식,,Y,장애인화장실+여자화장실,Y,Y,남자화장실+여자화장실,2009-01,2021-12-31
1544,공중화장실,,사당역(4),서울특별시 동작구 사당동 588-4 사당역(4호선),,4,7,0,0,0,0,12,0,0,서울교통공사,02-6110-4331,,05:00~24:00,1985-10,,,공공기관-국가공공기관,수세식,,Y,장애인화장실+여자화장실,Y,Y,남자화장실+여자화장실,2009-01,2021-12-31
1545,공중화장실,,사당역(4),서울특별시 동작구 사당동 588-4 사당역(4호선),,5,5,0,0,0,0,10,0,0,서울교통공사,02-6110-4331,,05:00~24:00,1985-10,,,공공기관-국가공공기관,수세식,,Y,장애인화장실+여자화장실,Y,Y,여자화장실,2008-01,2021-12-31
1598,개방화장실,,신대방누리도서관,서울특별시 동작구 신대방동 1다길 19,서울특별시 동작구 신대방 1동 686-78,3,6,3,0,1,2,9,3,1,동작구 문화정책과,02-859-8588,,09:00~18:00,2021-10,,,공공기관-국가공공기관,수세식,,Y,남자화장실+여자화장실,Y,N,없음,,2023-05-26
1668,공중화장실,,백로공원화장실,서울특별시 동작구 장승배기로19라길 51,서울특별시 동작구 상도동 362-46,1,2,0,0,0,0,2,0,0,동작구청(공원녹지과),02-820-1644,,00:00~00:00,,,,공공기관-지방자치단체,수세식,,Y,장애인화장실+남자화장실+여자화장실,N,N,없음,,2023-05-22
1681,공중화장실,,상도근린공원 공중화장실,서울특별시 동작구 상도동 산64-56,,1,0,0,0,0,0,1,0,0,동작구청소행정과,02-820-9143,,00:00~24:00,,,,공공기관-지방자치단체,수세식,,Y,남자화장실+여자화장실,N,N,없음,,2022-01-31
1683,공중화장실,,현충원 공중화장실,서울특별시 동작구 산45-1,,2,3,1,0,0,0,4,1,0,동작구청소행정과,02-820-9143,,00:00~24:00,,,,공공기관-지방자치단체,수세식,,Y,장애인화장실+여자화장실,N,Y,남자화장실,,2022-01-31
1763,개방화장실,법제3조제16호-영제3조제1항제1호,응봉공원 응봉관리소,서울특별시 성동구 금호로172-1,서울특별시 금호로172-1,3,4,0,0,0,0,4,0,0,동부공원녹지사업소 응봉공원,,상시,00:00~24:00,,,,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2023-12-20
1767,공중화장실,법제3조제16호-영제3조제1항제1호,망우3동 공영주차장,서울특별시 중랑구 겸재로 61길  주차장내 2층,,1,1,1,1,0,0,2,1,0,중랑구 시설관리공단,02-438-7209,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,Y,여자화장실,,2024-01-23
1770,공중화장실,법제3조제16호-영제3조제1항제1호,면목5동 공영주차장,서울특별시 중랑구 동일로 594  주차장 내 지하 1층,,1,1,0,0,0,0,1,0,0,중랑구 시설관리공단,02-438-7209,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,N,없음,,2024-01-23
1775,공중화장실,법제3조제5호,봉화산근린공원(유아숲체험장),서울특별시 중랑구 묵동 산 141-1,,1,0,0,0,0,0,2,0,0,중랑구 공원녹지과,02-2094-2357,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,없음,,2024-01-23
1809,공중화장실,법제3조제5호,봉화산근린공원(자연체험공원),서울특별시 중랑구 신내동 산6-91,,1,2,0,0,0,0,2,0,0,중랑구 공원녹지과,02-2094-2357,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,Y,여자화장실,,2024-01-23
1811,공중화장실,법제3조제5호,능산공원,서울특별시 중랑구 신내동365-2,,1,0,1,0,0,0,4,1,0,중랑구 공원녹지과,02-2094-2357,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,Y,여자화장실,,2024-01-23
1830,공중화장실,법제3조제5호,중랑캠핑숲 관리사무소,서울특별시 중랑구 망우로 56,,2,2,1,1,1,0,4,1,1,중부공원녹지사업소,,상시,,,,,공공기관-지방자치단체,수세식,N,Y,여자화장실,N,Y,여자화장실,,2024-01-23
1847,공중화장실,법제3조제5호,봉화산(성덕사 약수터),서울특별시 중랑구 중화1동 산9-5,,1,1,0,0,0,0,1,0,0,중랑구 공원녹지과,02-2094-2357,상시,,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-01-23
1910,공중화장실,,포이근린공원(출발마당),서울특별시 강남구 개포동428,,1,2,0,0,0,0,2,1,0,공원녹지과,,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2022-11-28
1975,공중화장실,,수서동주민센터,서울특별시 강남구 광평로 301-4,,2,2,0,0,0,0,4,0,0,수서동,,,9시~18시,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,N,없음,,2022-11-28
1996,공중화장실,법제3조제5호,배밭공원 화장실,서울특별시 중랑구 망우동 69-203,,0,2,1,0,1,0,1,1,1,중랑구 공원녹지과,02-439-0031,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-01-23
1999,공중화장실,법제3조제5호,서일대 뒷산 공원 화장실,서울특별시 중랑구 면목동 산16-2,,1,2,1,0,1,0,1,1,1,중랑구 공원녹지과,02-439-0031,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,N,없음,,2024-01-23
2255,개방화장실,,SK리더스뷰,서울특별시 남부순환로 2763 (도곡동),,13,0,0,0,0,0,0,0,0,개인,,,06:00~23:00,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2022-11-28
2303,개방화장실,법제3조제7호,마장역(5),서울특별시 성동구 마장동 772 마장역,서울특별시 성동구 마장동 772 마장역,4,3,0,0,0,0,7,0,0,서울교통공사,,상시,00:00~24:00,,,,공공기관-국가공공기관,수세식,Y,Y,여자화장실,N,N,없음,,2023-12-20
2307,공중화장실,법제3조제5호,망우동 공중화장실,서울특별시 중랑구 망우로 570,,2,3,1,0,1,0,6,1,1,중랑구 청소행정과,02-2094-1984,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,,2024-01-23
2311,공중화장실,법제3조제5호,망우산 어린이 모험 놀이터,서울특별시 중랑구 면목동 산69-1 용마랜드 뒤,,0,1,1,0,0,0,0,1,0,중랑구 공원녹지과,02-2094-2393,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,여자화장실,,2024-01-23
2313,공중화장실,법제3조제5호,용마산 유아숲체험장,서울특별시 중랑구 면목동51-50,,1,1,0,0,0,0,2,0,0,중랑구 공원녹지과,02-2094-2357,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,없음,,2024-01-23
2326,공중화장실,,율현3공원,서울특별시 강남구 율현로77-9,,2,3,1,1,1,0,7,1,1,동부공원녹지사업소 율현공원,02-459-9453,,24시,2016-01,,,공공기관-지방자치단체,수세식,,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,,2022-11-28
2327,공중화장실,,율현4공원,서울특별시 강남구 율현로77-9,,2,3,0,0,0,0,4,0,0,동부공원녹지사업소 율현공원,02-459-9453,,24시,2016-01,,,공공기관-지방자치단체,수세식,,Y,장애인화장실+여자화장실,N,Y,여자화장실,,2022-11-28
2489,공중화장실,법제3조제16호-영제3조제1항제1호,와룡공원,서울특별시 종로구 명륜3가 산2-14,서울특별시 종로구 명륜3가 산2-14,1,2,1,0,0,0,3,1,0,종로구청 도시녹지과,02-2148-2832,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,N,없음,,2024-01-22
2578,공중화장실,,오목교 화장실,서울특별시 영등포구 양평2가 492,서울특별시 영등포구 양평2가 492,1,2,1,0,0,0,2,0,0,푸른도시과,02-2670-3773,,24시간,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-05-25
2624,개방화장실,법제3조제16호-영제3조제1항제1호,돈의문박물관마을안내소,서울특별시 종로구 신문로2가 7-22,,1,1,0,0,0,0,1,0,0,서울시 문화정책과,02-720-0072,정시,10~19,,,,공공기관-지방자치단체,수세식,N,N,없음,N,Y,여자화장실,,2024-01-22
2643,공중화장실,,대림3동 주민센터 1층 화장실,서울특별시 영등포구 대림로 197 (대림동  대림3동주민센터),,2,2,0,0,0,0,2,0,0,대림3동 주민센터,02-2670-1425,,09:00~18:00,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-06-03
2671,개방화장실,법제3조제16호-영제3조제1항제1호,종로4가,서울특별시 종로구 창경궁로 지하 85,,2,3,0,0,0,0,6,0,0,서울시설공단 상가운영처,02-2290-6244,정시,06~22,,,,공공기관-국가공공기관,수세식,N,Y,장애인화장실+여자화장실,Y,Y,여자화장실,,2024-01-22
2716,공중화장실,법제3조제16호-영제3조제1항제1호,창2 공중화장실(창신1지역),서울특별시 종로구 창신4가길 34-15,서울특별시 종로구 창신동 640-223,1,1,0,0,0,0,2,0,0,종로구청 청소행정과,02-2148-2383,상시,,2004-05,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-01-22
2717,공중화장실,법제3조제16호-영제3조제1항제1호,참샘골공원 공중화장실,서울특별시 종로구 평창길 273,서울특별시 종로구 평창동 470,1,1,0,0,0,0,1,0,0,종로구청 청소행정과,02-2148-2383,상시,,2006-04,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-01-22
2735,공중화장실,,쌍룡산근린공원화장실,,서울특별시 마포구 염리동 24-106,0,1,1,1,0,0,2,1,0,마포구청 자원순환과,02-3153-9234,,00~24,,,,공공기관-지방자치단체,수세식,,Y,장애인화장실+남자화장실+여자화장실,Y,Y,여자화장실,2021-04,2023-03-20
2765,개방화장실,,로터리지하도상가 화장실,서울특별시 영등포구 영중로 지하 219(영등포역지하도상가),,4,5,0,0,0,0,12,0,0,서울시설공단,02-2290-6558,,24시간,,,,공공기관-지방자치단체,수세식,,N,없음,Y,Y,남자화장실+여자화장실,2014-01,2020-05-18
2934,개방화장실,,효창운동장화장실,서울특별시 용산구 효창원로 177-12,,0,0,0,0,0,0,5,0,0,서울특별시축구협회,02-713-1410,,05:00~대관마감시간까지,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2023-10-31
2935,개방화장실,,효창운동장화장실,서울특별시 용산구 효창원로 177-12,,4,6,0,0,0,0,0,0,0,서울특별시축구협회,02-713-1410,,05:00~대관마감시간까지,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2023-10-31
2936,개방화장실,,효창운동장화장실,서울특별시 용산구 효창원로 177-12,,0,0,0,0,0,0,2,0,0,서울특별시축구협회,02-713-1410,,05:00~대관마감시간까지,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2023-10-31
2942,공중화장실,,상암근린공원화장실,서울특별시 마포구 월드컵로42길 22 (상암동),서울특별시 마포구 상암동 1761,1,3,1,0,0,1,3,1,1,마포구청 자원순환과,02-3153-9234,,00~24,,,,공공기관-지방자치단체,수세식,,Y,여자화장실+남자화장실,Y,Y,남자화장실+여자화장실,,2023-03-24
2945,개방화장실,,망원파출소 화장실,서울특별시 마포구 망원로2길 63  망원1파출소 1층 (망원동),서울특별시 마포구 망원동 398-1 망원1파출소,1,1,0,0,0,0,1,0,0,망원파출소,02-337-5908,,00~24,,,,공공기관-국가,수세식,,N,없음,N,N,없음,,2022-11-24
2959,공중화장실,,만리배수지 화장실,서울특별시 마포구 환일7길 16 (아현동),서울특별시 마포구 아현동 87-7,2,2,0,0,0,0,3,0,0,마포구청 자원순환과,02-3153-9234,,00~24,2012-01,,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,N,없음,,2023-03-20
2964,개방화장실,,영등포역 지하,서울특별시 영등포동 3가 441,,3,5,1,0,0,0,12,1,0,영등포역 지하,02-2290-6459,,05:00~12:00,,,,공공기관-지방자치단체,수세식,,N,없음,Y,Y,여자화장실,,2020-08-31
2973,개방화장실,,효창운동장화장실,서울특별시 용산구 효창원로 177-12,,3,6,0,0,0,0,0,0,0,서울특별시축구협회,02-713-1410,,05:00~대관마감시간까지,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,없음,N,N,없음,,2023-10-31
2980,개방화장실,,이촌종합시장 개방화장실,서울특별시 용산구 이촌로75길 19,,3,3,0,0,0,0,4,0,0,이촌상가상인회,02-794-1555,,-,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,Y,남자화장실+여자화장실,Y,N,없음,,2023-10-31
2987,공중화장실,,효창공원앞역,서울특별시 용산구 원효로71길 40 (용문동),,8,12,0,0,0,0,20,0,0,한국철도공사(코레일),02-701-6418,,-,,,,공공기관-국가공공기관,수세식,,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2023-10-31
2992,공중화장실,,삼각지 어린이공원,서울특별시 용산구 용산3가 1-96,,2,3,0,0,0,0,3,0,0,용산구청 공원녹지과,02-2199-7600,,-,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,Y,남자화장실+여자화장실,2002-01,2023-10-31
2996,공중화장실,,동빙고 빗물펌프장 화장실,서울특별시 용산구 서빙고로 299 (동빙고동),,0,0,0,0,0,0,0,0,0,서빙고 펌프장,02-2199-8680,,-,,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2023-10-31
3040,공중화장실,,도원 어린이공원,서울특별시 용산구 도원동 15-57,,1,2,0,0,0,0,1,0,0,용산구청 공원녹지과,02-2199-7600,,-,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,Y,남자화장실+여자화장실,2001-01,2023-10-31
3116,공중화장실,,롯데백화점 구관 2층,서울특별시 영등포구 경인로 850(영등포동  영등포민자역사),,2,3,0,0,0,0,6,0,0,롯데백화점,02-2670-8832,,10:30~20:00,1991-01,,,공공기관-국가,수세식,,N,없음,N,Y,여자화장실,,2020-05-18
3117,공중화장실,,롯데백화점 롯데시네마 상영관,서울특별시 영등포구 경인로 858(영등포동  영등포민자역사),,2,2,0,0,0,0,2,0,0,롯데백화점,02-2670-8832,,10:30~20:00,,,,공공기관-국가,수세식,,N,없음,N,N,없음,,2020-05-18
3685,개방화장실,법제3조제5호,현충근린공원(동작동_봉황),,서울특별시 동작구 상도동 산65-221,1,1,0,0,0,0,1,0,0,동작구 공원녹지과,02-820-9848,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,없음,,2024-05-07
3686,개방화장실,법제3조제5호,상도근린공원(상도동_초소앞),,서울특별시 동작구 상도동 산65-221,1,1,0,0,0,0,2,0,0,동작구 공원녹지과,02-820-1766,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,없음,,2024-05-07
3730,개방화장실,법제3조제13호,간이화장실_삼일공원체육시설,서울특별시 동작구 사당로23길 57-8,서울특별시 동작구 사당동 산24-17,1,0,0,0,0,0,1,0,0,동작구 공원녹지과,02-820-1639,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,N,없음,,2024-05-07
